epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8295,1.0423,4.14053,1.27393,0.36105,0.26364,0.17502,0.13471,0.87939,2.86231,1.15286,0.000131783,0.000131783,0.000131783
2,61.5303,0.99431,3.22765,1.22876,0.40177,0.5277,0.43496,0.32994,0.8959,2.01199,1.21286,0.000259867,0.000259867,0.000259867
3,89.1576,0.94273,2.52268,1.17377,0.52796,0.66541,0.59698,0.4608,0.82983,1.53047,1.10635,0.000382671,0.000382671,0.000382671
4,116.551,0.91807,2.14348,1.14954,0.61163,0.64652,0.67624,0.53856,0.82026,1.54338,1.10063,0.00037624,0.00037624,0.00037624
5,143.62,0.87403,1.92524,1.10932,0.64806,0.79875,0.78124,0.62955,0.79112,1.19965,1.08798,0.00036832,0.00036832,0.00036832
6,170.611,0.86039,1.68856,1.10291,0.77854,0.73364,0.83997,0.68344,0.76628,1.07291,1.04923,0.0003604,0.0003604,0.0003604
7,199.205,0.83074,1.57142,1.07524,0.87358,0.82478,0.89618,0.72515,0.73619,0.91599,1.0473,0.00035248,0.00035248,0.00035248
8,227.071,0.83799,1.42186,1.07922,0.82246,0.81333,0.86516,0.69841,0.77527,0.96622,1.05472,0.00034456,0.00034456,0.00034456
9,254.627,0.81501,1.31123,1.06503,0.86994,0.81473,0.89778,0.72955,0.73981,0.83311,1.03614,0.00033664,0.00033664,0.00033664
10,282.417,0.79128,1.26444,1.05873,0.85465,0.85806,0.918,0.74956,0.73121,0.79298,1.03935,0.00032872,0.00032872,0.00032872
11,309.909,0.79734,1.20339,1.05776,0.87616,0.8613,0.91872,0.7576,0.7122,0.80035,1.01189,0.0003208,0.0003208,0.0003208
12,337.973,0.77021,1.12447,1.04454,0.89507,0.86049,0.92362,0.75864,0.73598,0.75323,1.02704,0.00031288,0.00031288,0.00031288
13,367.448,0.74573,1.06828,1.02575,0.88249,0.89556,0.93628,0.77805,0.682,0.69888,0.99316,0.00030496,0.00030496,0.00030496
14,395.579,0.77463,1.04134,1.03485,0.91185,0.85721,0.92013,0.74986,0.71944,0.717,1.01313,0.00029704,0.00029704,0.00029704
15,424.246,0.73197,1.01825,1.02481,0.88178,0.85685,0.91358,0.75284,0.71947,0.74605,1.0251,0.00028912,0.00028912,0.00028912
16,452.308,0.75742,1.0076,1.04159,0.88969,0.89038,0.92825,0.76609,0.70911,0.69106,1.01364,0.0002812,0.0002812,0.0002812
17,480.439,0.74138,0.93556,1.01439,0.90215,0.86255,0.92241,0.75286,0.72732,0.71646,1.01561,0.00027328,0.00027328,0.00027328
18,508.408,0.71825,0.88605,1.01559,0.91826,0.90395,0.9363,0.77318,0.69812,0.63395,1.01122,0.00026536,0.00026536,0.00026536
19,537.817,0.71588,0.85619,1.01272,0.9085,0.91171,0.93548,0.77437,0.72055,0.61944,1.00372,0.00025744,0.00025744,0.00025744
20,565.849,0.70239,0.85705,1.00283,0.92669,0.91879,0.95315,0.79944,0.67745,0.56258,0.98853,0.00024952,0.00024952,0.00024952
21,593.72,0.69366,0.82799,0.99457,0.91097,0.90476,0.93369,0.77761,0.70105,0.59183,1.00579,0.0002416,0.0002416,0.0002416
22,621.426,0.68682,0.79093,0.99522,0.89228,0.89524,0.93195,0.77533,0.68019,0.64681,0.99887,0.00023368,0.00023368,0.00023368
23,649.547,0.69751,0.78826,1.0039,0.90518,0.90175,0.93981,0.78975,0.67047,0.60584,0.98809,0.00022576,0.00022576,0.00022576
24,677.639,0.67187,0.76006,0.99328,0.91417,0.91426,0.9533,0.79804,0.66584,0.53624,0.98757,0.00021784,0.00021784,0.00021784
25,706.933,0.66918,0.7532,0.98932,0.92982,0.90902,0.9451,0.79056,0.66347,0.56789,0.98123,0.00020992,0.00020992,0.00020992
26,734.842,0.66155,0.72092,0.98037,0.91833,0.88749,0.93611,0.78728,0.67006,0.5721,0.99395,0.000202,0.000202,0.000202
27,762.546,0.67751,0.72556,0.98164,0.95032,0.88466,0.95045,0.79634,0.66786,0.52072,0.99002,0.00019408,0.00019408,0.00019408
28,790.523,0.66958,0.71928,0.99431,0.94017,0.90499,0.94934,0.79116,0.67962,0.54775,0.98841,0.00018616,0.00018616,0.00018616
29,818.126,0.66981,0.68968,0.98284,0.9464,0.9108,0.95693,0.8048,0.66418,0.50437,0.98738,0.00017824,0.00017824,0.00017824
30,845.782,0.65874,0.68228,0.98808,0.93672,0.90203,0.95643,0.80042,0.67289,0.51913,0.99208,0.00017032,0.00017032,0.00017032
31,873.843,0.63653,0.63958,0.97653,0.89409,0.91729,0.94682,0.79609,0.65409,0.51968,0.97741,0.0001624,0.0001624,0.0001624
32,900.704,0.64595,0.63144,0.97453,0.90867,0.91817,0.95208,0.7964,0.67404,0.51964,0.99797,0.00015448,0.00015448,0.00015448
33,928.684,0.64199,0.63149,0.98857,0.92147,0.91998,0.95683,0.80326,0.67245,0.51442,0.98865,0.00014656,0.00014656,0.00014656
34,956.504,0.63568,0.62433,0.98305,0.93277,0.91445,0.95617,0.8073,0.67388,0.51029,0.98672,0.00013864,0.00013864,0.00013864
35,984.808,0.62261,0.61224,0.96192,0.92743,0.91603,0.948,0.79576,0.65335,0.5089,0.97037,0.00013072,0.00013072,0.00013072
36,1012.43,0.62189,0.60418,0.96587,0.934,0.91433,0.95534,0.80712,0.64578,0.47864,0.96342,0.0001228,0.0001228,0.0001228
37,1041.95,0.62559,0.59791,0.96897,0.91926,0.90982,0.95199,0.80932,0.64287,0.48968,0.96373,0.00011488,0.00011488,0.00011488
38,1069.85,0.62099,0.58731,0.96341,0.93771,0.91817,0.95285,0.80293,0.65765,0.48036,0.97701,0.00010696,0.00010696,0.00010696
39,1097.3,0.62523,0.60122,0.97026,0.94041,0.9174,0.95569,0.80922,0.64981,0.47194,0.97013,9.904e-05,9.904e-05,9.904e-05
40,1124.85,0.60808,0.56369,0.96223,0.94009,0.90276,0.95038,0.80519,0.64906,0.49264,0.9722,9.112e-05,9.112e-05,9.112e-05
41,1153.47,0.52774,0.47322,0.91126,0.93365,0.92399,0.95538,0.80185,0.65353,0.48899,0.97646,8.32e-05,8.32e-05,8.32e-05
42,1179.81,0.51511,0.44931,0.90018,0.94201,0.91317,0.9556,0.80616,0.65115,0.47268,0.97371,7.528e-05,7.528e-05,7.528e-05
43,1207.51,0.50972,0.44383,0.90349,0.93022,0.91602,0.95007,0.80416,0.65658,0.48866,0.97531,6.736e-05,6.736e-05,6.736e-05
44,1233.12,0.50677,0.42896,0.89156,0.95385,0.91518,0.95801,0.80873,0.65372,0.46721,0.97256,5.944e-05,5.944e-05,5.944e-05
45,1259.61,0.49237,0.41975,0.87974,0.95111,0.90124,0.95756,0.81008,0.65795,0.46899,0.97696,5.152e-05,5.152e-05,5.152e-05
46,1286.24,0.48577,0.41649,0.87982,0.94765,0.91439,0.95901,0.8057,0.66648,0.46132,0.98511,4.36e-05,4.36e-05,4.36e-05
47,1312.64,0.48244,0.40943,0.89466,0.94964,0.91418,0.96067,0.81067,0.65517,0.45534,0.97563,3.568e-05,3.568e-05,3.568e-05
48,1339.15,0.48035,0.3976,0.88061,0.9511,0.91667,0.96067,0.81188,0.66291,0.45083,0.9825,2.776e-05,2.776e-05,2.776e-05
